TRACT,PPoorCon
80900,0
130200,0
130300,0.058168
130400,0.054908
130600,0.035387
492700,0.107236
488400,0.008539
130100,0.058333
476100,0.002615
470300,0.004624
474101,0.004481
170600,0
496102,0.040766
523501,0.005311
414200,0.003363
413202,0.003162
429202,0.003041
260200,0.019681
462100,0.035529
473300,0.001295
424000,0.069318
290400,0
459201,0.016377
490002,0.010517
504100,0.033824
551300,0.019939
523100,0.04457
474102,0.002851
426400,0.007289
420000,0.02907
486800,0.145397
523600,0.001324
523800,0.0084
520001,0.006304
552400,0.04597
141400,0
484300,0.036451
469000,0.004314
40400,0
497000,0.06237
413201,0.003676
451102,0.012909
519000,0.000744
191700,0
260700,0.004592
260900,0
475401,0.002435
429500,0.000781
475304,0.001725
413100,0.001802
421200,0.008108
407002,0.014695
488600,0.017634
80600,0
491200,0.02754
40500,0
60500,0.049327
70300,0
70500,0
70800,0
90200,0
90300,0
100500,0
101100,0
140100,0
140200,0
60300,0
70900,0
111300,0
111400,0
120300,0
120400,0.057522
120700,0.081522
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
